Y	1div10	1	10
   5.0199651e+00	   1.6462771e+00	   1.8187478e+00	   2.6064851e+00	
   5.0781521e+00	   1.6519787e+00	   1.8250467e+00	   2.6155121e+00	
   5.1370135e+00	   1.6577000e+00	   1.8313674e+00	   2.6245705e+00	
   5.1965572e+00	   1.6634412e+00	   1.8377100e+00	   2.6336602e+00	
   5.2567911e+00	   1.6692022e+00	   1.8440746e+00	   2.6427814e+00	
   5.3177232e+00	   1.6749832e+00	   1.8504612e+00	   2.6519342e+00	
   5.3793615e+00	   1.6807842e+00	   1.8568699e+00	   2.6611187e+00	
   5.4417143e+00	   1.6866053e+00	   1.8633009e+00	   2.6703350e+00	
   5.5047898e+00	   1.6924465e+00	   1.8697541e+00	   2.6795832e+00	
   5.5685964e+00	   1.6983080e+00	   1.8762296e+00	   2.6888635e+00	
   5.6331427e+00	   1.7041898e+00	   1.8827276e+00	   2.6981759e+00	
   5.6984371e+00	   1.7100919e+00	   1.8892481e+00	   2.7075205e+00	
   5.7644883e+00	   1.7160145e+00	   1.8957912e+00	   2.7168975e+00	
   5.8313051e+00	   1.7219576e+00	   1.9023569e+00	   2.7263070e+00	
   5.8988964e+00	   1.7279213e+00	   1.9089454e+00	   2.7357491e+00	
   5.9672712e+00	   1.7339056e+00	   1.9155566e+00	   2.7452238e+00	
   6.0364385e+00	   1.7399107e+00	   1.9221908e+00	   2.7547314e+00	
   6.1064075e+00	   1.7459366e+00	   1.9288480e+00	   2.7642719e+00	
   6.1771876e+00	   1.7519833e+00	   1.9355282e+00	   2.7738455e+00	
   6.2487881e+00	   1.7580510e+00	   1.9422315e+00	   2.7834522e+00	
   6.3212185e+00	   1.7641397e+00	   1.9489581e+00	   2.7930922e+00	
   6.3944884e+00	   1.7702495e+00	   1.9557080e+00	   2.8027656e+00	
   6.4686077e+00	   1.7763804e+00	   1.9624812e+00	   2.8124724e+00	
   6.5435860e+00	   1.7825326e+00	   1.9692779e+00	   2.8222129e+00	
   6.6194335e+00	   1.7887060e+00	   1.9760981e+00	   2.8319871e+00	
   6.6961601e+00	   1.7949009e+00	   1.9829420e+00	   2.8417952e+00	
   6.7737760e+00	   1.8011172e+00	   1.9898096e+00	   2.8516373e+00	
   6.8522916e+00	   1.8073551e+00	   1.9967009e+00	   2.8615134e+00	
   6.9317173e+00	   1.8136145e+00	   2.0036161e+00	   2.8714237e+00	
   7.0120636e+00	   1.8198956e+00	   2.0105553e+00	   2.8813684e+00	
   7.0933412e+00	   1.8261985e+00	   2.0175185e+00	   2.8913475e+00	
   7.1755609e+00	   1.8325232e+00	   2.0245058e+00	   2.9013611e+00	
   7.2587337e+00	   1.8388698e+00	   2.0315173e+00	   2.9114095e+00	
   7.3428704e+00	   1.8452384e+00	   2.0385531e+00	   2.9214926e+00	
   7.4279825e+00	   1.8516291e+00	   2.0456132e+00	   2.9316107e+00	
   7.5140811e+00	   1.8580418e+00	   2.0526978e+00	   2.9417638e+00	
   7.6011776e+00	   1.8644768e+00	   2.0598070e+00	   2.9519520e+00	
   7.6892837e+00	   1.8709341e+00	   2.0669408e+00	   2.9621756e+00	
   7.7784111e+00	   1.8774138e+00	   2.0740992e+00	   2.9724345e+00	
   7.8685715e+00	   1.8839158e+00	   2.0812825e+00	   2.9827290e+00	
   7.9597770e+00	   1.8904404e+00	   2.0884906e+00	   2.9930592e+00	
   8.0520397e+00	   1.8969876e+00	   2.0957238e+00	   3.0034251e+00	
   8.1453718e+00	   1.9035575e+00	   2.1029819e+00	   3.0138269e+00	
   8.2397857e+00	   1.9101501e+00	   2.1102652e+00	   3.0242647e+00	
   8.3352940e+00	   1.9167656e+00	   2.1175737e+00	   3.0347387e+00	
   8.4319093e+00	   1.9234040e+00	   2.1249076e+00	   3.0452490e+00	
   8.5296445e+00	   1.9300653e+00	   2.1322668e+00	   3.0557957e+00	
   8.6285126e+00	   1.9367497e+00	   2.1396515e+00	   3.0663788e+00	
   8.7285266e+00	   1.9434573e+00	   2.1470618e+00	   3.0769987e+00	
   8.8297000e+00	   1.9501881e+00	   2.1544978e+00	   3.0876553e+00	
   8.9320460e+00	   1.9569423e+00	   2.1619595e+00	   3.0983489e+00	
   9.0355783e+00	   1.9637198e+00	   2.1694470e+00	   3.1090794e+00	
   9.1403107e+00	   1.9705208e+00	   2.1769605e+00	   3.1198472e+00	
   9.2462571e+00	   1.9773453e+00	   2.1845000e+00	   3.1306522e+00	
   9.3534315e+00	   1.9841935e+00	   2.1920656e+00	   3.1414946e+00	
   9.4618482e+00	   1.9910654e+00	   2.1996575e+00	   3.1523746e+00	
   9.5715215e+00	   1.9979611e+00	   2.2072756e+00	   3.1632923e+00	
   9.6824661e+00	   2.0048806e+00	   2.2149201e+00	   3.1742478e+00	
   9.7946967e+00	   2.0118242e+00	   2.2225911e+00	   3.1852412e+00	
   9.9082281e+00	   2.0187918e+00	   2.2302886e+00	   3.1962727e+00	
   1.0023075e+01	   2.0257835e+00	   2.2380128e+00	   3.2073424e+00	
   1.0139254e+01	   2.0327994e+00	   2.2457637e+00	   3.2184505e+00	
   1.0256779e+01	   2.0398397e+00	   2.2535415e+00	   3.2295970e+00	
   1.0375667e+01	   2.0469043e+00	   2.2613463e+00	   3.2407821e+00	
   1.0495932e+01	   2.0539934e+00	   2.2691780e+00	   3.2520060e+00	
   1.0617592e+01	   2.0611070e+00	   2.2770369e+00	   3.2632687e+00	
   1.0740662e+01	   2.0682453e+00	   2.2849230e+00	   3.2745705e+00	
   1.0865158e+01	   2.0754082e+00	   2.2928364e+00	   3.2859113e+00	
   1.0991097e+01	   2.0825960e+00	   2.3007773e+00	   3.2972915e+00	
   1.1118496e+01	   2.0898087e+00	   2.3087456e+00	   3.3087111e+00	
   1.1247372e+01	   2.0970464e+00	   2.3167415e+00	   3.3201702e+00	
   1.1377741e+01	   2.1043092e+00	   2.3247651e+00	   3.3316690e+00	
   1.1509622e+01	   2.1115970e+00	   2.3328165e+00	   3.3432076e+00	
   1.1643031e+01	   2.1189102e+00	   2.3408958e+00	   3.3547862e+00	
   1.1777987e+01	   2.1262486e+00	   2.3490031e+00	   3.3664049e+00	
   1.1914507e+01	   2.1336125e+00	   2.3571384e+00	   3.3780638e+00	
   1.2052609e+01	   2.1410019e+00	   2.3653019e+00	   3.3897632e+00	
   1.2192313e+01	   2.1484169e+00	   2.3734937e+00	   3.4015030e+00	
   1.2333635e+01	   2.1558575e+00	   2.3817139e+00	   3.4132835e+00	
   1.2476596e+01	   2.1633239e+00	   2.3899625e+00	   3.4251048e+00	
   1.2621213e+01	   2.1708162e+00	   2.3982397e+00	   3.4369670e+00	
   1.2767507e+01	   2.1783344e+00	   2.4065456e+00	   3.4488703e+00	
   1.2915497e+01	   2.1858787e+00	   2.4148802e+00	   3.4608148e+00	
   1.3065202e+01	   2.1934491e+00	   2.4232437e+00	   3.4728007e+00	
   1.3216642e+01	   2.2010457e+00	   2.4316362e+00	   3.4848281e+00	
   1.3369837e+01	   2.2086686e+00	   2.4400577e+00	   3.4968972e+00	
   1.3524809e+01	   2.2163180e+00	   2.4485084e+00	   3.5090081e+00	
   1.3681576e+01	   2.2239938e+00	   2.4569884e+00	   3.5211609e+00	
   1.3840161e+01	   2.2316962e+00	   2.4654977e+00	   3.5333558e+00	
   1.4000584e+01	   2.2394253e+00	   2.4740365e+00	   3.5455929e+00	
   1.4162866e+01	   2.2471811e+00	   2.4826049e+00	   3.5578725e+00	
   1.4327030e+01	   2.2549638e+00	   2.4912030e+00	   3.5701945e+00	
   1.4493096e+01	   2.2627735e+00	   2.4998308e+00	   3.5825592e+00	
   1.4661087e+01	   2.2706102e+00	   2.5084885e+00	   3.5949668e+00	
   1.4831025e+01	   2.2784740e+00	   2.5171762e+00	   3.6074173e+00	
   1.5002933e+01	   2.2863651e+00	   2.5258940e+00	   3.6199109e+00	
   1.5176834e+01	   2.2942835e+00	   2.5346420e+00	   3.6324478e+00	
   1.5352750e+01	   2.3022293e+00	   2.5434202e+00	   3.6450281e+00	
   1.5530706e+01	   2.3102027e+00	   2.5522289e+00	   3.6576520e+00	
   1.5710724e+01	   2.3182037e+00	   2.5610681e+00	   3.6703196e+00	
   1.5892829e+01	   2.3262323e+00	   2.5699379e+00	   3.6830311e+00	
   1.6077044e+01	   2.3342888e+00	   2.5788384e+00	   3.6957866e+00	
   1.6263395e+01	   2.3423732e+00	   2.5877697e+00	   3.7085863e+00	
   1.6451906e+01	   2.3504856e+00	   2.5967320e+00	   3.7214303e+00	
   1.6642602e+01	   2.3586261e+00	   2.6057253e+00	   3.7343188e+00	
   1.6835508e+01	   2.3667947e+00	   2.6147498e+00	   3.7472520e+00	
   1.7030650e+01	   2.3749917e+00	   2.6238055e+00	   3.7602299e+00	
   1.7228054e+01	   2.3832171e+00	   2.6328925e+00	   3.7732528e+00	
   1.7427747e+01	   2.3914709e+00	   2.6420111e+00	   3.7863208e+00	
   1.7629754e+01	   2.3997533e+00	   2.6511612e+00	   3.7994340e+00	
   1.7834102e+01	   2.4080644e+00	   2.6603430e+00	   3.8125926e+00	
   1.8040819e+01	   2.4164043e+00	   2.6695566e+00	   3.8257969e+00	
   1.8249932e+01	   2.4247731e+00	   2.6788022e+00	   3.8390468e+00	
   1.8461469e+01	   2.4331709e+00	   2.6880797e+00	   3.8523427e+00	
   1.8675458e+01	   2.4415977e+00	   2.6973894e+00	   3.8656845e+00	
   1.8891928e+01	   2.4500537e+00	   2.7067313e+00	   3.8790726e+00	
   1.9110906e+01	   2.4585391e+00	   2.7161056e+00	   3.8925071e+00	
   1.9332423e+01	   2.4670538e+00	   2.7255123e+00	   3.9059881e+00	
   1.9556507e+01	   2.4755980e+00	   2.7349516e+00	   3.9195158e+00	
   1.9783189e+01	   2.4841717e+00	   2.7444237e+00	   3.9330903e+00	
