price	lev1	lev3	levCnt1
   1.3063063e+03   1.1172414e+00   1.4689655e+00   1.1420373e+00
   1.3153153e+03   1.1198630e+00   1.4794521e+00   1.1459484e+00
   1.3243243e+03   1.1224490e+00   1.4897959e+00   1.1498462e+00
   1.3333333e+03   1.1250000e+00   1.5000000e+00   1.1537308e+00
   1.3423423e+03   1.1275168e+00   1.5100671e+00   1.1576024e+00
   1.3513514e+03   1.1300000e+00   1.5200000e+00   1.1614610e+00
   1.3603604e+03   1.1324503e+00   1.5298013e+00   1.1653069e+00
   1.3693694e+03   1.1348684e+00   1.5394737e+00   1.1691402e+00
   1.3783784e+03   1.1372549e+00   1.5490196e+00   1.1729609e+00
   1.3873874e+03   1.1396104e+00   1.5584416e+00   1.1767692e+00
   1.3963964e+03   1.1419355e+00   1.5677419e+00   1.1805653e+00
   1.4054054e+03   1.1442308e+00   1.5769231e+00   1.1843491e+00
   1.4144144e+03   1.1464968e+00   1.5859873e+00   1.1881209e+00
   1.4234234e+03   1.1487342e+00   1.5949367e+00   1.1918808e+00
   1.4324324e+03   1.1509434e+00   1.6037736e+00   1.1956289e+00
   1.4414414e+03   1.1531250e+00   1.6125000e+00   1.1993652e+00
   1.4504505e+03   1.1552795e+00   1.6211180e+00   1.2030899e+00
   1.4594595e+03   1.1574074e+00   1.6296296e+00   1.2068032e+00
   1.4684685e+03   1.1595092e+00   1.6380368e+00   1.2105050e+00
   1.4774775e+03   1.1615854e+00   1.6463415e+00   1.2141956e+00
   1.4864865e+03   1.1636364e+00   1.6545455e+00   1.2178750e+00
   1.4954955e+03   1.1656627e+00   1.6626506e+00   1.2215433e+00
   1.5045045e+03   1.1676647e+00   1.6706587e+00   1.2252006e+00
   1.5135135e+03   1.1696429e+00   1.6785714e+00   1.2288470e+00
   1.5225225e+03   1.1715976e+00   1.6863905e+00   1.2324827e+00
   1.5315315e+03   1.1735294e+00   1.6941176e+00   1.2361076e+00
   1.5405405e+03   1.1754386e+00   1.7017544e+00   1.2397220e+00
   1.5495495e+03   1.1773256e+00   1.7093023e+00   1.2433258e+00
   1.5585586e+03   1.1791908e+00   1.7167630e+00   1.2469192e+00
   1.5675676e+03   1.1810345e+00   1.7241379e+00   1.2505023e+00
   1.5765766e+03   1.1828571e+00   1.7314286e+00   1.2540752e+00
   1.5855856e+03   1.1846591e+00   1.7386364e+00   1.2576379e+00
   1.5945946e+03   1.1864407e+00   1.7457627e+00   1.2611906e+00
   1.6036036e+03   1.1882022e+00   1.7528090e+00   1.2647332e+00
   1.6126126e+03   1.1899441e+00   1.7597765e+00   1.2682660e+00
   1.6216216e+03   1.1916667e+00   1.7666667e+00   1.2717890e+00
   1.6306306e+03   1.1933702e+00   1.7734807e+00   1.2753022e+00
   1.6396396e+03   1.1950549e+00   1.7802198e+00   1.2788058e+00
